,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.41567533330268464,0.6915308980213782,1.555452057131553,2.228735669493488
bikeshare,0.30438538231574663,0.535409534711642,1.3154835302925296,1.4882061692005106
911-call,0.045307277800464146,0.07342673843832616,0.11367886044190299,0.1232227143399781
