,propotion_0.01,propotion_0.05,propotion_0.1,propotion_0.5,propotion_1
puma_nta,92.24395,54.834194,31.667763,27.646685,26.281189
puma_tract,10.087567,8.73322,8.072927,7.4178743,7.2762733
puma_block,2.3985665,2.226909,2.1753266,2.028081,2.0100894
nta_tract,9.359512,7.651943,7.1946445,6.456272,6.3732467
nta_block,2.059682,1.7724419,1.7676804,1.6960981,1.6639272
tract_block,1.6041533,1.5045105,1.4485656,1.3614308,1.3295096
