,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.4571763959031679,0.7452665865889176,1.5919300093922435,2.242517821437576
bikeshare,0.3553467029311751,0.5618014917656434,1.2270601776610293,1.3801385431423294
911-call,0.06248715647398541,0.07001480906632362,0.08205470118450184,0.08734410217388211
