,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.4462596282330716,0.7179954825089178,1.5695615274801142,2.232845749687381
bikeshare,0.3301516472302807,0.5313219487453447,1.2806339456577494,1.44797032052665
911-call,0.04469632899868195,0.07157301523521678,0.11128717997249345,0.12342129609621462
