,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.381389748489035,0.6933676341320194,1.588438466331215,2.2911099665233947
bikeshare,0.3264810012116343,0.5303773205689709,1.2735183685988858,1.449096102946043
911-call,0.04609448263340713,0.07561358664816117,0.12090815062163979,0.13478169086550879
