,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.4723011971565251,0.7040581459816734,1.5473299601931239,2.2044595178084165
bikeshare,0.32937278498963135,0.5320330192538573,1.279151320869195,1.449645091206292
911-call,0.047385829626205585,0.07200270235554372,0.1139494162776211,0.1308846186481348
