,Unnamed: 0,geometry,shape_area,count_gt,count_pred,diff
10,10,"POLYGON ((-74.00325955115203 40.72037709575834, -74.00260001909851 40.71990342582791, -74.00188406309478 40.71939757028785, -74.00209161668549 40.71915339284904, -74.0039175897103 40.72004031204286, -74.00351186439296 40.72055635239183, -74.00325955115203 40.72037709575834))",96759.3033425183,2.5794606,0.008194217,-2.5712667
11,11,"POLYGON ((-73.9874910473887 40.72457376309821, -73.98797056927481 40.72391488525127, -73.98888975830897 40.72429347088048, -73.98964943225334 40.72461726491609, -73.99034165774366 40.72493213452644, -73.99015381140002 40.7251735545612, -73.99013134078081 40.72520594358696, -73.98986956388129 40.72558217153748, -73.9874910473887 40.72457376309821))",205828.63600502937,5.581182,5.4211345,-0.16004692
12,12,"POLYGON ((-74.0070902083681 40.72877225335333, -74.00720259632348 40.72805029044798, -74.00872442311214 40.72819516708926, -74.00859272105114 40.72891527738508, -74.0070902083681 40.72877225335333))",110789.81458400506,2.2960413,0.0,-2.2960413
13,13,"POLYGON ((-73.99739915081034 40.72144916045448, -73.99776107879224 40.72157612135361, -73.99712269657495 40.72230075572069, -73.99739915081034 40.72144916045448))",17165.75171943606,5.7475615,0.13621384,-5.611348
14,14,"POLYGON ((-73.99911824717667 40.72654231258723, -73.99917281574763 40.72647785510175, -74.00010082423555 40.72538161528427, -74.00089769851552 40.72577310759682, -73.99996871511009 40.72687210121509, -73.9999157921724 40.7269347129319, -73.99911824717667 40.72654231258723))",131066.3840163678,7.8496842,7.5924077,-0.2572771
15,15,"POLYGON ((-73.98730154868954 40.73890302603647, -73.98774074536297 40.73831218833139, -73.98781848575948 40.73834440738072, -73.98976487476611 40.73917708996598, -73.98958258715672 40.73986497921359, -73.98735883402445 40.73892550097521, -73.98730154868954 40.73890302603647))",165921.52664331632,12.180723,11.73905,-0.44167256
16,16,"POLYGON ((-73.99657214484283 40.72955223362673, -73.99711792428185 40.72892580148693, -73.99788585692714 40.72931044295748, -73.99735982688426 40.72994170610168, -73.99657214484283 40.72955223362673))",69654.79805142748,1.5639702,1.09608445e-05,-1.5639594
17,17,"POLYGON ((-73.98407485260152 40.74332471841662, -73.98452636708507 40.74270704207778, -73.9845794636045 40.74272862507629, -73.98614708712775 40.74338893191849, -73.98569571344605 40.74400764167103, -73.98413729050274 40.74334959061125, -73.98407485260152 40.74332471841662))",130947.98039063982,15.37292,15.223026,-0.14989558
18,18,"POLYGON ((-73.99050558603589 40.73056495673777, -73.99064024236256 40.73062286996711, -73.99039010002672 40.7312885238275, -73.99050558603589 40.73056495673777))",5206.052706693793,1.2237521,0.03210126,-1.191651
19,19,"POLYGON ((-73.98729805474679 40.74468149878054, -73.98774683785363 40.74406552828816, -73.98886889541463 40.74453293369414, -73.9887290551396 40.74528637365363, -73.98729805474679 40.74468149878054))",103183.8372587722,9.399885,9.050988,-0.34889737
20,20,"POLYGON ((-73.99381380257371 40.73273072431215, -73.99429729009887 40.73216586007166, -73.99591437458112 40.73284718124172, -73.99549001336946 40.73343614301612, -73.99381380257371 40.73273072431215))",126470.99523473615,6.5903616,6.1657405,-0.42462048
21,21,"POLYGON ((-73.99171498773387 40.73521530116922, -73.99226599105472 40.7345326013125, -73.99411856911257 40.73531264015107, -73.993616883955 40.73600449161606, -73.99171498773387 40.73521530116922))",170315.67928060974,10.811819,10.58581,-0.22600986
22,22,"POLYGON ((-73.9986122561338 40.73221543032865, -73.99910850784183 40.73162681821341, -74.00051066350596 40.73231522372586, -74.00006657703096 40.73292923564473, -73.9986122561338 40.73221543032865))",118845.4937053134,5.8055077,5.462465,-0.34304288
23,23,"POLYGON ((-73.98245520796479 40.74264696008489, -73.98291180101367 40.74202593992769, -73.98445797596709 40.74267654141067, -73.98452636708507 40.74270704207778, -73.98407485260152 40.74332471841662, -73.98400852046801 40.74329901840269, -73.98245520796479 40.74264696008489))",131304.73632675383,12.655766,12.673642,0.017876498
24,24,"POLYGON ((-74.0065013531848 40.73242587503382, -74.00662407175898 40.73166937905531, -74.00780727269162 40.73178368650331, -74.00752283641401 40.73285235694701, -74.00640707693226 40.73305394055869, -74.0065013531848 40.73242587503382))",140190.78875246271,8.314401,7.1539106,-1.1604906
25,25,"POLYGON ((-74.00493121738941 40.73530368858999, -74.00606869860017 40.73513321362362, -74.00596018042596 40.73584500733547, -74.00512616431496 40.73596173517257, -74.00493121738941 40.73530368858999))",68136.47628483221,5.8743544,5.4336944,-0.44066015
26,26,"POLYGON ((-73.98085054416383 40.74775037037821, -73.98134068727681 40.74707866368256, -73.98143281943811 40.74711977793576, -73.98295691021276 40.74776435318842, -73.98247212047082 40.74843150191904, -73.98094250047266 40.74779007090204, -73.98085054416383 40.74775037037821))",141610.962952605,8.507172,8.373702,-0.1334697
27,27,"POLYGON ((-74.00070275504731 40.74225361124812, -74.00112917457771 40.74166809759232, -74.00396898976541 40.74286300812635, -74.00378909711077 40.74310959761108, -74.00370838686727 40.74322023123408, -74.00354201925023 40.74344827908281, -74.00070275504731 40.74225361124812))",217205.5562892116,5.594951,5.245687,-0.34926453
28,28,"POLYGON ((-73.96209989277791 40.75545420025827, -73.96254959848029 40.75481292716091, -73.96478633196509 40.75575573144838, -73.9643254354485 40.75638153099116, -73.96339433645502 40.7559935727317, -73.96324122348862 40.75592977447852, -73.96209989277791 40.75545420025827))",183925.4644706672,6.092943,5.67093,-0.42201394
29,29,"POLYGON ((-73.97126234383154 40.75112224079684, -73.97171283993032 40.75049380781168, -73.97395914727225 40.75144102127746, -73.97350255883197 40.75206493215538, -73.97126234383154 40.75112224079684))",183324.30421201373,10.095238,9.931477,-0.16376063
30,30,"POLYGON ((-73.97034144699253 40.7523787886163, -73.97080361265313 40.7517482017168, -73.97304502578375 40.75269162238324, -73.97258875034491 40.7533178883702, -73.97034144699253 40.7523787886163))",184266.00981886536,12.213999,12.137557,-0.07644112
31,31,"POLYGON ((-73.99141858560698 40.74480268249625, -73.99187102433551 40.74418557094632, -73.99470867286587 40.74538244597784, -73.99426258628625 40.74600398135792, -73.99141858560698 40.74480268249625))",229809.4321821522,22.428572,21.756605,-0.6719657
32,32,"POLYGON ((-73.97121704531175 40.75519332425527, -73.97167699225896 40.75456963109898, -73.97327559804 40.75524353808342, -73.97281967445264 40.75587055200473, -73.97121704531175 40.75519332425527))",131031.79162387522,18.297188,17.381168,-0.91602176
33,33,"POLYGON ((-73.99898648395414 40.74799936341515, -73.99796186251872 40.7475681964839, -73.99709902920391 40.74720510204228, -73.99755164555444 40.7465809001299, -73.99886431447176 40.74712823008699, -74.00039850858411 40.74776789210953, -73.99993697120308 40.74839931776909, -73.99898648395414 40.74799936341515))",232869.8348632924,4.178428,3.7968724,-0.38155568
