,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.4700713817985488,0.796097626981727,1.6384661238412233,2.3131052350160326
bikeshare,0.33495585894343827,0.5640446197718585,1.3435635668324817,1.5216110353789913
911-call,0.0493904511748256,0.07644748075860326,0.11230910228409577,0.1200853348286811
