,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.4095353617191159,0.7712824565051606,1.6284364671898404,2.284915790395709
bikeshare,0.32533703801219416,0.5611651050496776,1.3670601455424964,1.5347161694200702
911-call,0.057441880787085245,0.08409445849162445,0.13026790620591452,0.1390062148249182
