Unnamed: 0,"('puma', 'nta')","('puma', 'tract')","('puma', 'block')","('puma', 'extreme')"
taxi,0.36460297012553644,0.7001166638109323,1.5000799637444648,2.6614525994000875
bikeshare,0.23036774042886116,0.5106815819692201,1.2166953942196714,1.249725731503801
911-call,0.02536813305658481,0.06546927133755151,0.10370002290734726,0.09862888208954292
